"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_item_crit_5_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_crit_5_crit_chance"                        	"%CRIT CHANCE:"
		"DOTA_Tooltip_ability_item_crit_5_crit_mult"                        	"%CRIT MULTIPLIER:"

		"DOTA_Tooltip_Ability_item_crit_6"                         			"crit tier6"
		"DOTA_Tooltip_ability_item_crit_6_Description"           				"Bonus crit"
		"DOTA_Tooltip_ability_item_crit_6_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_crit_6_crit_chance"                        	"%CRIT CHANCE:"
		"DOTA_Tooltip_ability_item_crit_6_crit_mult"                        	"%CRIT MULTIPLIER:"

		"DOTA_Tooltip_Ability_item_crit_7"                         			"crit tier7"
		"DOTA_Tooltip_ability_item_crit_7_Description"           				"Bonus crit"
		"DOTA_Tooltip_ability_item_crit_7_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_crit_7_crit_chance"                        	"%CRIT CHANCE:"
		"DOTA_Tooltip_ability_item_crit_7_crit_mult"                        	"%CRIT MULTIPLIER:"

		"DOTA_Tooltip_Ability_item_crit_8"                         			"crit tier8"
		"DOTA_Tooltip_ability_item_crit_8_Description"           				"Bonus crit"
		"DOTA_Tooltip_ability_item_crit_8_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_crit_8_crit_chance"                        	"%CRIT CHANCE:"
		"DOTA_Tooltip_ability_item_crit_8_crit_mult"                        	"%CRIT MULTIPLIER:"
		

		"DOTA_Tooltip_Ability_item_bladestorm_1"                         			"bladestorm tier1"
		"DOTA_Tooltip_ability_item_bladestorm_1_Description"           				"Bonus bladestorm"
		"DOTA_Tooltip_ability_item_bladestorm_1_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_bladestorm_1_trigger_chance"                        	"%TRIGGER CHANCE:"		
		"DOTA_Tooltip_ability_item_bladestorm_1_chain_count"                        	"TARGET COUNT:"
		"DOTA_Tooltip_ability_item_bladestorm_1_chain_damage"                        	"CHAIN DAMAGE:"

		"DOTA_Tooltip_Ability_item_bladestorm_2"                         			"bladestorm tier2"
		"DOTA_Tooltip_ability_item_bladestorm_2_Description"           				"Bonus bladestorm"
		"DOTA_Tooltip_ability_item_bladestorm_2_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_bladestorm_2_trigger_chance"                        	"%TRIGGER CHANCE:"		
		"DOTA_Tooltip_ability_item_bladestorm_2_chain_count"                        	"TARGET COUNT:"
		"DOTA_Tooltip_ability_item_bladestorm_2_chain_damage"                        	"CHAIN DAMAGE:"

		"DOTA_Tooltip_Ability_item_bladestorm_3"                         			"bladestorm tier3"
		"DOTA_Tooltip_ability_item_bladestorm_3_Description"           				"Bonus bladestorm"
		"DOTA_Tooltip_ability_item_bladestorm_3_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_bladestorm_3_trigger_chance"                        	"%TRIGGER CHANCE:"		
		"DOTA_Tooltip_ability_item_bladestorm_3_chain_count"                        	"TARGET COUNT:"
		"DOTA_Tooltip_ability_item_bladestorm_3_chain_damage"                        	"CHAIN DAMAGE:"

		"DOTA_Tooltip_Ability_item_bladestorm_4"                         			"bladestorm tier4"
		"DOTA_Tooltip_ability_item_bladestorm_4_Description"           				"Bonus bladestorm"
		"DOTA_Tooltip_ability_item_bladestorm_4_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_bladestorm_4_trigger_chance"                        	"%TRIGGER CHANCE:"		
		"DOTA_Tooltip_ability_item_bladestorm_4_chain_count"                        	"TARGET COUNT:"
		"DOTA_Tooltip_ability_item_bladestorm_4_chain_damage"                        	"CHAIN DAMAGE:"

		"DOTA_Tooltip_Ability_item_bladestorm_5"                         			"bladestorm tier5"
		"DOTA_Tooltip_ability_item_bladestorm_5_Description"           				"Bonus bladestorm"
		"DOTA_Tooltip_ability_item_bladestorm_5_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_bladestorm_5_trigger_chance"                        	"%TRIGGER CHANCE:"		
		"DOTA_Tooltip_ability_item_bladestorm_5_chain_count"                        	"TARGET COUNT:"
		"DOTA_Tooltip_ability_item_bladestorm_5_chain_damage"                        	"CHAIN DAMAGE:"

		"DOTA_Tooltip_Ability_item_bladestorm_6"                         			"bladestorm tier6"
		"DOTA_Tooltip_ability_item_bladestorm_6_Description"           				"Bonus bladestorm"
		"DOTA_Tooltip_ability_item_bladestorm_6_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_bladestorm_6_trigger_chance"                        	"%TRIGGER CHANCE:"		
		"DOTA_Tooltip_ability_item_bladestorm_6_chain_count"                        	"TARGET COUNT:"
		"DOTA_Tooltip_ability_item_bladestorm_6_chain_damage"                        	"CHAIN DAMAGE:"

		"DOTA_Tooltip_Ability_item_bladestorm_7"                         			"bladestorm tier7"
		"DOTA_Tooltip_ability_item_bladestorm_7_Description"           				"Bonus bladestorm"
		"DOTA_Tooltip_ability_item_bladestorm_7_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_bladestorm_7_trigger_chance"                        	"%TRIGGER CHANCE:"		
		"DOTA_Tooltip_ability_item_bladestorm_7_chain_count"                        	"TARGET COUNT:"
		"DOTA_Tooltip_ability_item_bladestorm_7_chain_damage"                        	"CHAIN DAMAGE:"

		"DOTA_Tooltip_Ability_item_bladestorm_8"                         			"bladestorm tier8"
		"DOTA_Tooltip_ability_item_bladestorm_8_Description"           				"Bonus bladestorm"
		"DOTA_Tooltip_ability_item_bladestorm_8_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_bladestorm_8_trigger_chance"                        	"%TRIGGER CHANCE:"		
		"DOTA_Tooltip_ability_item_bladestorm_8_chain_count"                        	"TARGET COUNT:"
		"DOTA_Tooltip_ability_item_bladestorm_8_chain_damage"                        	"CHAIN DAMAGE:"


		"DOTA_Tooltip_Ability_item_battlefury_1"                         			"battlefury tier1"
		"DOTA_Tooltip_ability_item_battlefury_1_Description"           				"Bonus battlefury"
		"DOTA_Tooltip_ability_item_battlefury_1_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_battlefury_1_splash_pct"                        	"%SPLASH:"

		"DOTA_Tooltip_Ability_item_battlefury_2"                         			"battlefury tier2"
		"DOTA_Tooltip_ability_item_battlefury_2_Description"           				"Bonus battlefury"
		"DOTA_Tooltip_ability_item_battlefury_2_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_battlefury_2_splash_pct"                        	"%SPLASH:"

		"DOTA_Tooltip_Ability_item_battlefury_3"                         			"battlefury tier3"
		"DOTA_Tooltip_ability_item_battlefury_3_Description"           				"Bonus battlefury"
		"DOTA_Tooltip_ability_item_battlefury_3_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_battlefury_3_splash_pct"                        	"%SPLASH:"

		"DOTA_Tooltip_Ability_item_battlefury_4"                         			"battlefury tier4"
		"DOTA_Tooltip_ability_item_battlefury_4_Description"           				"Bonus battlefury"
		"DOTA_Tooltip_ability_item_battlefury_4_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_battlefury_4_splash_pct"                        	"%SPLASH:"

		"DOTA_Tooltip_Ability_item_battlefury_5"                         			"battlefury tier5"
		"DOTA_Tooltip_ability_item_battlefury_5_Description"           				"Bonus battlefury"
		"DOTA_Tooltip_ability_item_battlefury_5_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_battlefury_5_splash_pct"                        	"%SPLASH:"

		"DOTA_Tooltip_Ability_item_battlefury_6"                         			"battlefury tier6"
		"DOTA_Tooltip_ability_item_battlefury_6_Description"           				"Bonus battlefury"
		"DOTA_Tooltip_ability_item_battlefury_6_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_battlefury_6_splash_pct"                        	"%SPLASH:"

		"DOTA_Tooltip_Ability_item_battlefury_7"                         			"battlefury tier7"
		"DOTA_Tooltip_ability_item_battlefury_7_Description"           				"Bonus battlefury"
		"DOTA_Tooltip_ability_item_battlefury_7_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_battlefury_7_splash_pct"                        	"%SPLASH:"

		"DOTA_Tooltip_Ability_item_battlefury_8"                         			"battlefury tier8"
		"DOTA_Tooltip_ability_item_battlefury_8_Description"           				"Bonus battlefury"
		"DOTA_Tooltip_ability_item_battlefury_8_bonus_damage"                        	"+$damage"
		"DOTA_Tooltip_ability_item_battlefury_8_splash_pct"                        	"%SPLASH:"


		"DOTA_Tooltip_Ability_item_ancient_shield_1"                         			"ancient_shield tier1"
		"DOTA_Tooltip_ability_item_ancient_shield_1_Description"           				"Bonus ancient_shield"
		"DOTA_Tooltip_ability_item_ancient_shield_1_bonus_block"                        	"DAMAGE BLOCK:"

		"DOTA_Tooltip_Ability_item_ancient_shield_2"                         			"ancient_shield tier2"
		"DOTA_Tooltip_ability_item_ancient_shield_2_Description"           				"Bonus ancient_shield"
		"DOTA_Tooltip_ability_item_ancient_shield_2_bonus_block"                        	"DAMAGE BLOCK:"

		"DOTA_Tooltip_Ability_item_ancient_shield_3"                         			"ancient_shield tier3"
		"DOTA_Tooltip_ability_item_ancient_shield_3_Description"           				"Bonus ancient_shield"
		"DOTA_Tooltip_ability_item_ancient_shield_3_bonus_block"                        	"DAMAGE BLOCK:"

		"DOTA_Tooltip_Ability_item_ancient_shield_4"                         			"ancient_shield tier4"
		"DOTA_Tooltip_ability_item_ancient_shield_4_Description"           				"Bonus ancient_shield"
		"DOTA_Tooltip_ability_item_ancient_shield_4_bonus_block"                        	"DAMAGE BLOCK:"

		"DOTA_Tooltip_Ability_item_ancient_shield_5"                         			"ancient_shield tier5"
		"DOTA_Tooltip_ability_item_ancient_shield_5_Description"           				"Bonus ancient_shield"
		"DOTA_Tooltip_ability_item_ancient_shield_5_bonus_block"                        	"DAMAGE BLOCK:"

		"DOTA_Tooltip_Ability_item_ancient_shield_6"                         			"ancient_shield tier6"
		"DOTA_Tooltip_ability_item_ancient_shield_6_Description"           				"Bonus ancient_shield"
		"DOTA_Tooltip_ability_item_ancient_shield_6_bonus_block"                        	"DAMAGE BLOCK:"

		"DOTA_Tooltip_Ability_item_ancient_shield_7"                         			"ancient_shield tier7"
		"DOTA_Tooltip_ability_item_ancient_shield_7_Description"           				"Bonus ancient_shield"
		"DOTA_Tooltip_ability_item_ancient_shield_7_bonus_block"                        	"DAMAGE BLOCK:"

		"DOTA_Tooltip_Ability_item_ancient_shield_8"                         			"ancient_shield tier8"
		"DOTA_Tooltip_ability_item_ancient_shield_8_Description"           				"Bonus ancient_shield"
		"DOTA_Tooltip_ability_item_ancient_shield_8_bonus_block"                        	"DAMAGE BLOCK:"

		"DOTA_Tooltip_Ability_item_hero_armor_1"                         			"hero_armor tier1"
		"DOTA_Tooltip_ability_item_hero_armor_1_Description"           				"Give bonus armor for every enemy in radius"
		"DOTA_Tooltip_ability_item_hero_armor_1_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hero_armor_1_armor_per_enemy"                        	"ARMOR PER ENEMY:"
		"DOTA_Tooltip_ability_item_hero_armor_1_search_radius"                        	"SEARCH RADIUS:"

		"DOTA_Tooltip_Ability_item_hero_armor_2"                         			"hero_armor tier2"
		"DOTA_Tooltip_ability_item_hero_armor_2_Description"           				"Give bonus armor for every enemy in radius"
		"DOTA_Tooltip_ability_item_hero_armor_2_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hero_armor_2_armor_per_enemy"                        	"ARMOR PER ENEMY:"
		"DOTA_Tooltip_ability_item_hero_armor_2_search_radius"                        	"SEARCH RADIUS:"

		"DOTA_Tooltip_Ability_item_hero_armor_3"                         			"hero_armor tier3"
		"DOTA_Tooltip_ability_item_hero_armor_3_Description"           				"Give bonus armor for every enemy in radius"
		"DOTA_Tooltip_ability_item_hero_armor_3_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hero_armor_3_armor_per_enemy"                        	"ARMOR PER ENEMY:"
		"DOTA_Tooltip_ability_item_hero_armor_3_search_radius"                        	"SEARCH RADIUS:"

		"DOTA_Tooltip_Ability_item_hero_armor_4"                         			"hero_armor tier4"
		"DOTA_Tooltip_ability_item_hero_armor_4_Description"           				"Give bonus armor for every enemy in radius"
		"DOTA_Tooltip_ability_item_hero_armor_4_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hero_armor_4_armor_per_enemy"                        	"ARMOR PER ENEMY:"
		"DOTA_Tooltip_ability_item_hero_armor_4_search_radius"                        	"SEARCH RADIUS:"

		"DOTA_Tooltip_Ability_item_hero_armor_5"                         			"hero_armor tier5"
		"DOTA_Tooltip_ability_item_hero_armor_5_Description"           				"Give bonus armor for every enemy in radius"
		"DOTA_Tooltip_ability_item_hero_armor_5_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hero_armor_5_armor_per_enemy"                        	"ARMOR PER ENEMY:"
		"DOTA_Tooltip_ability_item_hero_armor_5_search_radius"                        	"SEARCH RADIUS:"

		"DOTA_Tooltip_Ability_item_hero_armor_6"                         			"hero_armor tier6"
		"DOTA_Tooltip_ability_item_hero_armor_6_Description"           				"Give bonus armor for every enemy in radius"
		"DOTA_Tooltip_ability_item_hero_armor_6_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hero_armor_6_armor_per_enemy"                        	"ARMOR PER ENEMY:"
		"DOTA_Tooltip_ability_item_hero_armor_6_search_radius"                        	"SEARCH RADIUS:"

		"DOTA_Tooltip_Ability_item_hero_armor_7"                         			"hero_armor tier7"
		"DOTA_Tooltip_ability_item_hero_armor_7_Description"           				"Give bonus armor for every enemy in radius"
		"DOTA_Tooltip_ability_item_hero_armor_7_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hero_armor_7_armor_per_enemy"                        	"ARMOR PER ENEMY:"
		"DOTA_Tooltip_ability_item_hero_armor_7_search_radius"                        	"SEARCH RADIUS:"

		"DOTA_Tooltip_Ability_item_hero_armor_8"                         			"hero_armor tier8"
		"DOTA_Tooltip_ability_item_hero_armor_8_Description"           				"Give bonus armor for every enemy in radius"
		"DOTA_Tooltip_ability_item_hero_armor_8_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hero_armor_8_armor_per_enemy"                        	"ARMOR PER ENEMY:"
		"DOTA_Tooltip_ability_item_hero_armor_8_search_radius"                        	"SEARCH RADIUS:"
		"DOTA_Tooltip_modifier_item_hero_armor"                        	"Hero armor"
		"DOTA_Tooltip_modifier_item_hero_armor_description"                        	"Bonus armor per enemy"


		"DOTA_Tooltip_Ability_item_curtain_helm_1"                         			"curtain_helm tier1"
		"DOTA_Tooltip_ability_item_curtain_helm_1_Description"           				"Create shield for absorb incoming damage"
		"DOTA_Tooltip_ability_item_curtain_helm_1_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_curtain_helm_1_damage_absorb"                        	"damage_absorb"
		"DOTA_Tooltip_ability_item_curtain_helm_1_refresh_time"                        	"REFRESH TIME:"

		"DOTA_Tooltip_Ability_item_curtain_helm_2"                         			"curtain_helm tier2"
		"DOTA_Tooltip_ability_item_curtain_helm_2_Description"           				"Create shield for absorb incoming damage"
		"DOTA_Tooltip_ability_item_curtain_helm_2_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_curtain_helm_2_damage_absorb"                        	"damage_absorb"
		"DOTA_Tooltip_ability_item_curtain_helm_2_refresh_time"                        	"REFRESH TIME:"

		"DOTA_Tooltip_Ability_item_curtain_helm_3"                         			"curtain_helm tier3"
		"DOTA_Tooltip_ability_item_curtain_helm_3_Description"           				"Create shield for absorb incoming damage"
		"DOTA_Tooltip_ability_item_curtain_helm_3_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_curtain_helm_3_damage_absorb"                        	"damage_absorb"
		"DOTA_Tooltip_ability_item_curtain_helm_3_refresh_time"                        	"REFRESH TIME:"

		"DOTA_Tooltip_Ability_item_curtain_helm_4"                         			"curtain_helm tier4"
		"DOTA_Tooltip_ability_item_curtain_helm_4_Description"           				"Create shield for absorb incoming damage"
		"DOTA_Tooltip_ability_item_curtain_helm_4_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_curtain_helm_4_damage_absorb"                        	"damage_absorb"
		"DOTA_Tooltip_ability_item_curtain_helm_4_refresh_time"                        	"REFRESH TIME:"

		"DOTA_Tooltip_Ability_item_curtain_helm_5"                         			"curtain_helm tier5"
		"DOTA_Tooltip_ability_item_curtain_helm_5_Description"           				"Create shield for absorb incoming damage"
		"DOTA_Tooltip_ability_item_curtain_helm_5_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_curtain_helm_5_damage_absorb"                        	"damage_absorb"
		"DOTA_Tooltip_ability_item_curtain_helm_5_refresh_time"                        	"REFRESH TIME:"

		"DOTA_Tooltip_Ability_item_curtain_helm_6"                         			"curtain_helm tier6"
		"DOTA_Tooltip_ability_item_curtain_helm_6_Description"           				"Create shield for absorb incoming damage"
		"DOTA_Tooltip_ability_item_curtain_helm_6_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_curtain_helm_6_damage_absorb"                        	"damage_absorb"
		"DOTA_Tooltip_ability_item_curtain_helm_6_refresh_time"                        	"REFRESH TIME:"

		"DOTA_Tooltip_Ability_item_curtain_helm_7"                         			"curtain_helm tier7"
		"DOTA_Tooltip_ability_item_curtain_helm_7_Description"           				"Create shield for absorb incoming damage"
		"DOTA_Tooltip_ability_item_curtain_helm_7_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_curtain_helm_7_damage_absorb"                        	"damage_absorb"
		"DOTA_Tooltip_ability_item_curtain_helm_7_refresh_time"                        	"REFRESH TIME:"

		"DOTA_Tooltip_Ability_item_curtain_helm_8"                         			"curtain_helm tier8"
		"DOTA_Tooltip_ability_item_curtain_helm_8_Description"           				"Create shield for absorb incoming damage"
		"DOTA_Tooltip_ability_item_curtain_helm_8_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_curtain_helm_8_damage_absorb"                        	"damage_absorb"
		"DOTA_Tooltip_ability_item_curtain_helm_8_refresh_time"                        	"REFRESH TIME:"		
		"DOTA_Tooltip_modifier_item_curtain_helm_buff"                        	"Curtain helm"
		"DOTA_Tooltip_modifier_item_curtain_helm_buff_description"                        	"Curtain helm absorb damage"


		"DOTA_Tooltip_Ability_item_hard_armor_1"                         			"hard_armor tier1"
		"DOTA_Tooltip_ability_item_hard_armor_1_Description"           				"Can block any incoming damage"
		"DOTA_Tooltip_ability_item_hard_armor_1_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hard_armor_1_chance_block"                        	"%BLOCK CHANCE:"

		"DOTA_Tooltip_Ability_item_hard_armor_2"                         			"hard_armor tier2"
		"DOTA_Tooltip_ability_item_hard_armor_2_Description"           				"Can block any incoming damage"
		"DOTA_Tooltip_ability_item_hard_armor_2_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hard_armor_2_chance_block"                        	"%BLOCK CHANCE:"

		"DOTA_Tooltip_Ability_item_hard_armor_3"                         			"hard_armor tier3"
		"DOTA_Tooltip_ability_item_hard_armor_3_Description"           				"Can block any incoming damage"
		"DOTA_Tooltip_ability_item_hard_armor_3_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hard_armor_3_chance_block"                        	"%BLOCK CHANCE:"

		"DOTA_Tooltip_Ability_item_hard_armor_4"                         			"hard_armor tier4"
		"DOTA_Tooltip_ability_item_hard_armor_4_Description"           				"Can block any incoming damage"
		"DOTA_Tooltip_ability_item_hard_armor_4_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hard_armor_4_chance_block"                        	"%BLOCK CHANCE:"

		"DOTA_Tooltip_Ability_item_hard_armor_5"                         			"hard_armor tier5"
		"DOTA_Tooltip_ability_item_hard_armor_5_Description"           				"Can block any incoming damage"
		"DOTA_Tooltip_ability_item_hard_armor_5_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hard_armor_5_chance_block"                        	"%BLOCK CHANCE:"

		"DOTA_Tooltip_Ability_item_hard_armor_6"                         			"hard_armor tier6"
		"DOTA_Tooltip_ability_item_hard_armor_6_Description"           				"Can block any incoming damage"
		"DOTA_Tooltip_ability_item_hard_armor_6_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hard_armor_6_chance_block"                        	"%BLOCK CHANCE:"

		"DOTA_Tooltip_Ability_item_hard_armor_7"                         			"hard_armor tier7"
		"DOTA_Tooltip_ability_item_hard_armor_7_Description"           				"Can block any incoming damage"
		"DOTA_Tooltip_ability_item_hard_armor_7_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hard_armor_7_chance_block"                        	"%BLOCK CHANCE:"

		"DOTA_Tooltip_Ability_item_hard_armor_8"                         			"hard_armor tier8"
		"DOTA_Tooltip_ability_item_hard_armor_8_Description"           				"Can block any incoming damage"
		"DOTA_Tooltip_ability_item_hard_armor_8_bonus_armor"                        	"+$armor"
		"DOTA_Tooltip_ability_item_hard_armor_8_chance_block"                        	"%BLOCK CHANCE:"



//units
		"npc_creep_chest"				"Runduk"

		"npc_creep_1"				"Creep"
		"npc_creep_2"				"Creep"
		"npc_creep_3"				"Creep"
		"npc_creep_4"				"Creep"
		"npc_creep_5"				"Creep"
		"npc_creep_6"				"Creep"
		"npc_creep_7"				"Creep"
		"npc_creep_8"				"Creep"

		"npc_boss_1"				"boss"
		"npc_boss_2"				"boss"
		"npc_boss_3"				"boss"
		"npc_boss_4"				"boss"
		"npc_boss_5"				"boss"
		"npc_boss_6"				"boss"
		"npc_boss_7"				"boss"
		"npc_boss_8"				"boss"
	}
}
